name,economy (mpg),cylinders,displacement (cc),power (hp)
Chevrolet Vega 2300,28,4,140,90
Chevrolet Vega,20,4,140,90
Chevrolet Vega,21,4,140,72
Chevrolet Vega,25,4,140,75
Chevrolet Woody,24.5,4,98,60
Chevy C10,13,8,350,145
Chevy C20,10,8,307,200
Chevy S-10,31,4,119,82
Chrysler Cordoba,15.5,8,400,190
Chrysler Lebaron Medallion,26,4,156,92
Chrysler Lebaron Salon,17.6,6,225,85
Chrysler Lebaron Town & Country (Wagon),18.5,8,360,150
Chrysler New Yorker Brougham,13,8,440,215
Chrysler Newport Royal,13,8,400,190
Citroen DS-21 Pallas,,4,133,115
Datsun 1200,35,4,72,69
Datsun 200SX,23.9,4,119,97
Datsun 200SX,32.9,4,119,100
Datsun 210,31.8,4,85,65
Datsun 210,37,4,85,65
Datsun 210,40.8,4,85,65
Datsun 280ZX,32.7,6,168,132
Datsun 310 GX,38,4,91,67
Datsun 310,37.2,4,86,65
Datsun 510 (Wagon),28,4,97,92
Datsun 510 Hatchback,37,4,119,92
Datsun 510,27.2,4,119,97
Datsun 610,22,4,108,94
Datsun 710,24,4,119,97
Datsun 710,32,4,83,61
Datsun 810 Maxima,24.2,6,146,120
Datsun 810,22,6,146,97
Datsun B-210,32,4,85,70
Datsun B210 GX,39.4,4,85,70
Datsun B210,31,4,79,67
Datsun F-10 Hatchback,33.5,4,85,70
Datsun PL510,27,4,97,88
Datsun PL510,27,4,97,88
Dodge Aries SE,29,4,135,84
Dodge Aries Wagon (Wagon),25.8,4,156,92
Dodge Aspen 6,20.6,6,225,110
Dodge Aspen SE,20,6,225,100
Dodge Aspen,18.6,6,225,110
Dodge Aspen,19.1,6,225,90
Dodge Challenger SE,15,8,383,170
Dodge Charger 2.2,36,4,135,84
Dodge Colt (Wagon),28,4,98,80
Dodge Colt Hardtop,25,4,97.5,80
Dodge Colt Hatchback Custom,35.7,4,98,80
Dodge Colt M/M,33.5,4,98,83
Dodge Colt,26,4,98,79
Dodge Colt,27.9,4,156,105
Dodge Colt,28,4,90,75
Dodge Coronet Brougham,16,8,318,150
Dodge Coronet Custom (Wagon),14,8,318,150
Dodge Coronet Custom,15,8,318,150
Dodge D100,13,8,318,150
Dodge D200,11,8,318,210
Dodge Dart Custom,15,8,318,150
Dodge Diplomat,19.4,8,318,140
Dodge Magnum XE,17.5,8,318,140
Dodge Monaco (Wagon),12,8,383,180
Dodge Monaco Brougham,15.5,8,318,145
Dodge Omni,30.9,4,105,75
Dodge Rampage,32,4,135,84
Dodge St. Regis,18.2,8,318,135
Fiat 124 Sport Coupe,26,4,98,90
Fiat 124 TC,26,4,116,75
Fiat 124B,30,4,88,76
Fiat 128,24,4,90,75
Fiat 128,29,4,68,49
Fiat 131,28,4,107,86
Fiat Strada Custom,37.3,4,91,69
Fiat X1.9,31,4,79,67
Ford Capri II,25,4,140,92
Ford Country Squire (Wagon),13,8,400,170
Ford Country Squire (Wagon),15.5,8,351,142
Ford Country,12,8,400,167
Ford Escort 2H,29.9,4,98,65
Ford Escort 4W,34.4,4,98,65
Ford F108,13,8,302,130
Ford F250,10,8,360,215
Ford Fairmont (Auto),20.2,6,200,85
Ford Fairmont (Man),25.1,4,140,88
Ford Fairmont 4,22.3,4,140,88
Ford Fairmont Futura,24,4,140,92
Ford Fairmont,26.4,4,140,88
Ford Fiesta,36.1,4,98,66
Ford Futura,18.1,8,302,139
Ford Galaxie 500,14,8,351,153
Ford Galaxie 500,14,8,351,153
Ford Galaxie 500,15,8,429,198
Ford Gran Torino (Wagon),13,8,302,140
Ford Gran Torino (Wagon),14,8,302,140
Ford Gran Torino,14,8,302,137
Ford Gran Torino,14.5,8,351,152
Ford Gran Torino,16,8,302,140
Ford Granada Ghia,18,6,250,78
Ford Granada GL,20.2,6,200,88
Ford Granada L,22,6,232,112
Ford Granada,18.5,6,250,98
Ford LTD Landau,17.6,8,302,129
Ford LTD,13,8,351,158
Ford LTD,14,8,351,148
Ford Maverick,15,6,250,72
Ford Maverick,18,6,250,88
Ford Maverick,21,6,200,
Ford Maverick,21,6,200,85
Ford Maverick,24,6,200,81
Ford Mustang Boss 302,,8,302,140
Ford Mustang Cobra,23.6,4,140,
Ford Mustang GL,27,4,140,86
Ford Mustang II 2+2,25.5,4,140,89
Ford Mustang II,13,8,302,129
Ford Mustang,18,6,250,88
Ford Pinto (Wagon),22,4,122,86
Ford Pinto Runabout,21,4,122,86
Ford Pinto,18,6,171,97
Ford Pinto,19,4,122,85
Ford Pinto,23,4,140,83
Ford Pinto,25,4,98,
Ford Pinto,26,4,122,80
Ford Pinto,26.5,4,140,72
Ford Ranger,28,4,120,79
Ford Thunderbird,16,8,351,149
Ford Torino (Wagon),,8,351,153
Ford Torino 500,19,6,250,88
Ford Torino,17,8,302,140
Hi 1200D,9,8,304,193
Honda Accord CVCC,31.5,4,98,68
Honda Accord LX,29.5,4,98,68
Honda Accord,32.4,4,107,72
Honda Accord,36,4,107,75
Honda Civic (Auto),32,4,91,67
Honda Civic 1300,35.1,4,81,60
Honda Civic 1500 GL,44.6,4,91,67
Honda Civic CVCC,33,4,91,53
Honda Civic CVCC,36.1,4,91,60
Honda Civic,24,4,120,97
Honda Civic,33,4,91,53
Honda Civic,38,4,91,67
Honda Prelude,33.7,4,107,75
Maxda GLC Deluxe,34.1,4,86,65
Maxda RX-3,18,3,70,90
Mazda 626,31.3,4,120,75
Mazda 626,31.6,4,120,74
Mazda GLC 4,34.1,4,91,68
Mazda GLC Custom L,37,4,91,68
Mazda GLC Custom,31,4,91,68
Mazda GLC Deluxe,32.8,4,78,52
Mazda GLC,46.6,4,86,65
Mazda RX-2 Coupe,19,3,70,97
Mazda RX-4,21.5,3,80,110
Mazda RX-7 Gs,23.7,3,70,100
Mercedes-Benz 240D,30,4,146,67
Mercedes-Benz 280S,16.5,6,168,120
Mercedes-Benz 300D,25.4,5,183,77
Mercury Capri 2000,23,4,122,86
Mercury Capri V6,21,6,155,107
Mercury Cougar Brougham,15,8,302,130
Mercury Grand Marquis,16.5,8,351,138
Mercury Lynx L,36,4,98,70
Mercury Marquis Brougham,12,8,429,198
Mercury Marquis,11,8,429,208
Mercury Monarch Ghia,20.2,8,302,139
Mercury Monarch,15,6,250,72
Mercury Zephyr 6,19.8,6,200,85
Mercury Zephyr,20.8,6,200,85
Nissan Stanza XE,36,4,120,88
Oldsmobile Cutlass Ciera (Diesel),38,6,262,85
Oldsmobile Cutlass LS,26.6,8,350,105
Oldsmobile Cutlass Salon Brougham,19.9,8,260,110
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90
Oldsmobile Cutlass Supreme,17,8,260,110
Oldsmobile Delta 88 Royale,12,8,350,160
Oldsmobile Omega Brougham,26.8,6,173,115
Oldsmobile Omega,11,8,350,180
Oldsmobile Starfire SX,23.8,4,151,85
Oldsmobile Vista Cruiser,12,8,350,180
Opel 1900,25,4,116,81
Opel 1900,28,4,116,90
Opel Manta,24,4,116,75
Opel Manta,26,4,97,78
Peugeot 304,30,4,79,70
Peugeot 504 (Wagon),21,4,120,87
Peugeot 504,19,4,120,88
Peugeot 504,23,4,120,88
Peugeot 504,25,4,110,87
Peugeot 504,27.2,4,141,71
Peugeot 505S Turbo Diesel,28.1,4,141,80
Peugeot 604SL,16.2,6,163,133
Plymouth Arrow GS,25.5,4,122,96
Plymouth Barracuda 340,14,8,340,160
Plymouth Champ,39,4,86,64
Plymouth Cricket,26,4,91,70
Plymouth Custom Suburb,13,8,360,170
Plymouth Duster,20,6,198,95
Plymouth Duster,22,6,198,95
Plymouth Duster,23,6,198,95
Plymouth Fury Gran Sedan,14,8,318,150
Plymouth Fury III,14,8,318,150
Plymouth Fury III,14,8,440,215
Plymouth Fury III,15,8,318,150
Plymouth Fury,18,6,225,95
Plymouth Grand Fury,16,8,318,150
Plymouth Horizon 4,34.7,4,105,63
Plymouth Horizon Miser,38,4,105,63
Plymouth Horizon TC3,34.5,4,105,70
Plymouth Horizon,34.2,4,105,70
Plymouth Reliant,27.2,4,135,84
Plymouth Reliant,30,4,135,84
Plymouth Sapporo,23.2,4,156,105
Plymouth Satellite (Wagon),,8,383,175
Plymouth Satellite Custom (Wagon),14,8,318,150
Plymouth Satellite Custom,16,6,225,105
Plymouth Satellite Sebring,18,6,225,105
Plymouth Satellite,18,8,318,150
Plymouth Valiant Custom,19,6,225,95
Plymouth Valiant,18,6,225,105
Plymouth Valiant,22,6,225,100
Plymouth Volare Custom,19,6,225,100
Plymouth Volare Premier V8,13,8,318,150
Plymouth Volare,20.5,6,225,100
Pontiac Astro,23,4,140,78
Pontiac Catalina Brougham,14,8,400,175
Pontiac Catalina,14,8,400,175
Pontiac Catalina,14,8,455,225
Pontiac Catalina,16,8,400,170
Pontiac Firebird,19,6,250,100
Pontiac Grand Prix Lj,16,8,400,180
Pontiac Grand Prix,16,8,400,230
Pontiac J2000 Se Hatchback,31,4,112,85
Pontiac Lemans V6,21.5,6,231,115
Pontiac Phoenix LJ,19.2,6,231,105
Pontiac Phoenix,27,4,151,90
Pontiac Phoenix,33.5,4,151,90
Pontiac Safari (Wagon),13,8,400,175
Pontiac Sunbird Coupe,24.5,4,151,88
Pontiac Ventura Sj,18.5,6,250,110
Renault 12 (Wagon),26,4,96,69
Renault 12TL,27,4,101,83
Renault 18I,34.5,4,100,
Renault 5 Gtl,36,4,79,58
Renault Lecar Deluxe,40.9,4,85,
Saab 900S,,4,121,110
Saab 99E,25,4,104,95
Saab 99GLE,21.6,4,121,115
Saab 99LE,24,4,121,110
Saab 99LE,25,4,121,115
Subaru DL,30,4,97,67
Subaru DL,33.8,4,97,67
Subaru,26,4,108,93
Subaru,32.3,4,97,67
Toyota Carina,20,4,97,88
Toyota Celica GT Liftback,21.1,4,134,95
Toyota Celica GT,32,4,144,96
Toyota Corolla 1200,31,4,71,65
Toyota Corolla 1200,32,4,71,65
Toyota Corolla 1600 (Wagon),27,4,97,88
Toyota Corolla Liftback,26,4,97,75
Toyota Corolla Tercel,38.1,4,89,60
Toyota Corolla,28,4,97,75
Toyota Corolla,29,4,97,75
Toyota Corolla,32.2,4,108,75
Toyota Corolla,32.4,4,108,75
Toyota Corolla,34,4,108,70
Toyota Corona Hardtop,24,4,113,95
Toyota Corona Liftback,29.8,4,134,90
Toyota Corona Mark II,24,4,113,95
Toyota Corona,24,4,134,96
Toyota Corona,25,4,113,95
Toyota Corona,27.5,4,134,95
Toyota Corona,31,4,76,52
Toyota Cressida,25.4,6,168,116
Toyota Mark II,19,6,156,108
Toyota Mark II,20,6,156,122
Toyota Starlet,39.1,4,79,58
Toyota Tercel,37.7,4,89,62
Toyouta Corona Mark II (Wagon),23,4,120,97
Triumph TR7 Coupe,35,4,122,88
Vokswagen Rabbit,29.8,4,89,62
Volkswagen 1131 Deluxe Sedan,26,4,97,46
Volkswagen 411 (Wagon),22,4,121,76
Volkswagen Dasher (Diesel),43.4,4,90,48
Volkswagen Dasher,25,4,90,71
Volkswagen Dasher,26,4,79,67
Volkswagen Dasher,30.5,4,97,78
Volkswagen Jetta,33,4,105,74
Volkswagen Model 111,27,4,97,60
Volkswagen Pickup,44,4,97,52
Volkswagen Rabbit C (Diesel),44.3,4,90,48
Volkswagen Rabbit Custom Diesel,43.1,4,90,48
Volkswagen Rabbit Custom,29,4,97,78
Volkswagen Rabbit Custom,31.9,4,89,71
Volkswagen Rabbit L,36,4,105,74
Volkswagen Rabbit,29,4,90,70
Volkswagen Rabbit,29,4,90,70
Volkswagen Rabbit,29.5,4,97,71
Volkswagen Rabbit,41.5,4,98,76
Volkswagen Scirocco,31.5,4,89,71
Volkswagen Super Beetle 117,,4,97,48
Volkswagen Super Beetle,26,4,97,46
Volkswagen Type 3,23,4,97,54
Volvo 144EA,19,4,121,112
Volvo 145E (Wagon),18,4,121,112
Volvo 244DL,22,4,121,98
Volvo 245,20,4,130,102
Volvo 264GL,17,6,163,125
Volvo Diesel,30.7,6,145,76
