grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Supplemental Support for the New York STEM Progressive Dialogues (original grant on OPP52284),45,Rensselaer Polytechnic Institute,220654,medium,9/29/09,9,29,2009
Teacher Demographics and Pension Policies,46,National Commission on Teachings & America's Future,221755,medium,1/1/09,1,1,2009
Support access to ARRA funds for strong CMOs,50,New Schools Fund dba NewSchools Venture Fund,246070,medium,9/10/09,9,10,2009
Aspen-NewSchools Fellows,51,New Schools Fund dba NewSchools Venture Fund,250000,medium,3/26/09,3,26,2009
Texas Charter Schools Association,52,Texas Charter Schools Association,250000,medium,5/18/09,5,18,2009
to support the work of a teacher evaluation task force,53,American Federation Of Teachers Educational Foundation,250000,medium,6/23/09,6,23,2009
Ensuring a Valid and Useable Teacher Student Link,54,National Center For Educational Achievement,260760,medium,11/21/09,11,21,2009
DCPS Measures of Teacher Effectiveness Study,56,DC Public Education Fund,299985,medium,11/10/09,11,10,2009
Creating a Stronger Philanthropic Sector in Education,57,Grantmakers for Education,300000,medium,11/6/09,11,6,2009
Global Education Leaders' Program (GELP),59,Silicon Valley Community Foundation,300000,medium,11/10/09,11,10,2009
Teacher-Student Data Link Project - Arkansas,61,Arkansas Department of Education,300000,medium,11/19/09,11,19,2009
Teacher-Student Data Link Project - Florida,62,Florida Department of Education,300000,medium,11/19/09,11,19,2009
Teacher-Student Data Link Project - Georgia,63,Georgia Department of Education,300000,medium,11/19/09,11,19,2009
Teacher-Student Data Link Project - Louisiana,64,Louisiana Department of Education,300000,medium,11/19/09,11,19,2009
Teacher-Student Data Link Project - Ohio,65,Ohio Department of Education,300000,medium,11/19/09,11,19,2009
The California STEM Innovation Network,66,California Polytechnic State University Foundation,300000,medium,1/8/09,1,8,2009
Mathematics Assessment for Learning Phase One RFP,70,National Council of La Raza,322103,medium,11/10/09,11,10,2009
NSC Student Data for High Schools Pilot: Georgia,72,"University System of Georgia Foundation, Inc.",331678,medium,11/11/09,11,11,2009
Common Core Companion Curriculum Project,73,Common Core Inc.,331890,medium,12/17/09,12,17,2009
Intensive Partnership Site - Participation in MET Research Study,75,Pittsburgh Public Schools,353977,medium,11/13/09,11,13,2009
Institute for Local Innovation in Teaching and Learning,76,The NEA Foundation for the Improvement of Education,358915,medium,10/22/09,10,22,2009
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",79,"Leadership Conference on Civil Rights Education Fund, Inc.",375030,medium,10/26/09,10,26,2009
NSC Student Data for High Schools Pilot: Florida,80,Florida Department of Education,383465,medium,10/30/09,10,30,2009
The Policy Innovation in Education Network,81,Thomas B. Fordham Institute,398534,medium,6/15/09,6,15,2009
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",83,Mexican American Legal Defense and Educational Fund,400000,medium,8/28/09,8,28,2009
Education Equity Agenda: LULAC Parent Involvement Initiative for Campaign for High School Equity,84,"L.U.L.A.C. Institute, Inc.",400017,medium,9/21/09,9,21,2009
8th to 9th Grade Transition and Acceleration Project,85,National Summer Learning Association,400366,medium,11/1/09,11,1,2009
Support of professional development and an education workshop for education beat reporters,86,"Teachers College, Columbia University",402493,medium,9/29/09,9,29,2009
NSC Student Data for High Schools Pilot: Texas,87,Communities Foundation of Texas,406610,medium,10/15/09,10,15,2009
Supplemental Support Review and Build-out of the Raytheon STEM Model,88,Business Higher Education Forum,417517,medium,11/4/09,11,4,2009
Education Equity Agenda: Southeast Asian American Action and Visibility in Education (SAVE) Project,90,Southeast Asia Resource Action Center,425000,medium,8/28/09,8,28,2009
Roads to Success Curriculum Completion and Distribution,91,Roads to Success Inc.,430000,medium,10/26/09,10,26,2009
STEM Community Collaborative Phase 2,92,MCNC,432898,medium,3/6/09,3,6,2009
Regional convenings for policymakers and leaders to develop commitment to standards and assessments,94,National Association of State Boards of Education,450675,medium,10/26/09,10,26,2009
Business Planning to Create Hybrid Learning Environments in Existing and New Schools,95,Pollinate Ventures,451125,medium,11/8/09,11,8,2009
Mathematics Assessment for Learning Phase One RFP,96,Fund for Public Schools Inc.,455394,medium,11/13/09,11,13,2009
KIPPShare National Data Platform,97,KIPP Foundation,468500,medium,11/5/09,11,5,2009
The Equity Project (TEP) Charter School Evaluation,98,Mathematica Policy Research,470507,medium,7/16/09,7,16,2009
Teacher Working Conditions Survey,102,New Teacher Center,494933,medium,10/13/09,10,13,2009
IMPLEMENTATION: StartL: A Digital Media and Learning Accelerator,108,Social Science Research Council,500000,medium,11/5/09,11,5,2009
NAPCS General Operating Support,109,National Alliance For Public Charter Schools,500000,medium,10/30/09,10,30,2009
New England Consortium,110,Nellie Mae Education Foundation,500000,medium,1/1/09,1,1,2009
Stay for America (retaining effective Teach for America teachers beyond year 2),112,"Teach for America, Inc.",500422,medium,10/1/09,10,1,2009
Education Equity Agenda: Improving Native Student Graduation Rates: Policy Recommendations on High School Reform,114,National Indian Education Association,520446,medium,8/31/09,8,31,2009
National Advocacy Support for the Common Core Initiative,118,"Alliance for Excellent Education, Inc.",551336,medium,11/4/09,11,4,2009
Conceptual and Organizing Platform for Secondary Mathematics Formative Assessments,119,Regents University Of California Los Angeles,576191,medium,5/11/09,5,11,2009
Building Business Leadership for New Approaches to Teacher Compensation,121,Committee for Economic Development,597077,medium,5/5/09,5,5,2009
Mathematics Assessment for Learning Phase One RFP,122,Prichard Committee for Academic Excellence,599016,medium,11/16/09,11,16,2009
Washington STEM Innovation Initiative,126,Partnership for Learning,643881,medium,3/11/09,3,11,2009
Teacher Effectiveness work,127,Hope Street Group,650108,medium,11/7/09,11,7,2009
Stimulus related work and CSA support,128,Institute for a Competitive Workforce,653077,medium,11/11/09,11,11,2009
"Validating a Common Core of Fewer, Clearer, Higher Standards",129,Educational Policy Improvement Center,721687,medium,5/5/09,5,5,2009
Support for National Lab Day,132,Tides Center,750000,medium,11/10/09,11,10,2009
The Role of School Board Governance in Preaparing Students for College and Workplace Readiness,134,National School Boards Foundation,755603,medium,4/25/09,4,25,2009
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",136,National Urban League Inc.,800000,medium,10/26/09,10,26,2009
Measures of Effective Teaching Research Site,138,Denver Public Schools,878493,medium,11/13/09,11,13,2009
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",140,National Council of La Raza,930223,medium,11/10/09,11,10,2009
DC Achiever Restructuring Partner,141,Friendship Public Charter School,937088,medium,11/3/09,11,3,2009
PRI Guaranty To Unlock Facilities Financing for High Quality Charter Schools,142,Local Initiatives Support Corporation,950000,medium,8/27/09,8,27,2009
Common Standards Review and Task Development,143,Thomas B. Fordham Institute,959116,medium,10/10/09,10,10,2009
Sustainability for Recovery School District,145,Baton Rouge Area Foundation,993219,medium,11/3/09,11,3,2009
Research Design for Project-Based Advanced Placement Courses,146,University of Washington,996185,medium,11/18/09,11,18,2009
Accelerate and Enhance Teacher Effectiveness Methods In Districts/Networks,147,Achievement First Inc.,998221,medium,10/9/09,10,9,2009
AFT Innovation Fund,148,American Federation Of Teachers Educational Foundation,1000000,medium,1/1/09,1,1,2009
"Applying an R&D model to education to unearth root causes of performance gaps, to effectively vet options for reform.",149,President and Fellows of Harvard College,1000000,medium,11/12/09,11,12,2009
Ohio College and Career Ready Consortium,152,Ohio Grantmakers Forum,1000000,medium,7/18/09,7,18,2009
to support Teach for America (TFA) with the goal of bringing low income and minority students in TFA classrooms to proficiency,154,"Teach for America, Inc.",1000000,medium,6/26/09,6,26,2009
Los Angeles Collaborative to Improve College and Career Readiness in LAUSD Schools,155,United Way Inc.,1000330,high,1/15/09,1,15,2009
PEN business planning,156,Public Education Network,1001363,high,7/10/09,7,10,2009
Accelerate and Enhance Teacher Effectiveness Methods In Districts/Networks,157,Recovery School District,1004719,high,10/22/09,10,22,2009
CEP standards and assessment work,158,Center on Education Policy,1047928,high,9/8/09,9,8,2009
Accelerator Enhance Teacher Effectiveness Methods - RE: ASPIRE Model in HISD,160,Houston Independent School District,1100000,high,11/5/09,11,5,2009
Portable Word Play - Discovering What Handheld Games Can Do for Adolescent Reading Comprehension,166,"Education Development Center, Inc.",1224953,high,11/18/09,11,18,2009
Academic Youth Development,168,University of Texas at Austin,1235787,high,11/18/09,11,18,2009
support the K-12 backmapping of the standards,170,Council of Chief State School Officers,1291738,high,10/12/09,10,12,2009
Technical Assistance for Standards/Assessment Partners,173,National Center for the Improvement of Educational Assessment Inc.,1362773,high,11/19/09,11,19,2009
Making NSC Data Actionable for School Leaders,174,College Summit Inc,1383137,high,5/22/09,5,22,2009
Charlotte-Mecklenburg Measures of Teacher Effectiveness Research,175,Charlotte-Mecklenburg Schools,1431534,high,9/3/09,9,3,2009
College Ready Course Sequence Implementation,176,"ACT, Inc.",1445269,high,9/14/09,9,14,2009
Partnership for Learning Statewide Advocacy + Stimulus RTT TA,177,Partnership for Learning,1493522,high,11/1/09,11,1,2009
LEV Statewide Advocacy Expansion,179,League of Education Voters Foundation,1500000,high,10/29/09,10,29,2009
NCEE state partnerships,180,National Center on Education & the Economy,1500000,high,10/19/09,10,19,2009
Development of frameworks for the assessment of teacher knowledge,181,Educational Testing Service,1521971,high,11/14/09,11,14,2009
Expansion of Urban Teacher Residency (UTRU),183,The Urban Teacher Residency Institute,1635665,high,9/1/09,9,1,2009
Validation of the Teaching as Leadership Rubric,185,"Teach for America, Inc.",1840548,high,10/5/09,10,5,2009
Education Equity Agenda: Support for Campaign for High School Equity coordination of national civil rights organization national policy advocacy of College Ready and Postsecondary Strategies,188,"Rockefeller Philanthropy Advisors, Inc.",1915298,high,10/19/09,10,19,2009
Intensive Partnership Site - Participation in MET Research Study,190,Memphis City Schools,1988654,high,11/3/09,11,3,2009
New-Media Capacity Building at EPE,191,Editorial Projects in Education,1997280,high,5/1/09,5,1,2009
Implementation: National PTA support for college-readiness,192,National Congress of Parents and Teachers,2000000,high,11/3/09,11,3,2009
Literacy by Design,195,The Trust For Early Education Inc,2039526,high,9/17/09,9,17,2009
Teacher-Student Data Link Project,197,CELT Corporation,2200000,high,11/19/09,11,19,2009
Business Planning for Education grantees,200,The Bridgespan Group,2237530,high,4/20/09,4,20,2009
Develop Tools for Teachers/Districts to Monitor Student Progress,201,Math Solutions,2274957,high,11/20/09,11,20,2009
IB Middle Years Summative Assessment,202,IB Fund US Inc.,2423679,high,8/22/09,8,22,2009
Next Generation PD System,204,DC Public Education Fund,2500000,high,11/12/09,11,12,2009
Intensive Partnership Site - Participation in MET Research Study,206,Hillsborough County Public Schools,2502146,high,10/20/09,10,20,2009
Scaling NCTQ state and district work,207,National Council on Teacher Quality,2565641,high,10/21/09,10,21,2009
NYC DOE Measures of Teacher Effectiveness Research,211,Fund for Public Schools Inc.,2646876,high,8/28/09,8,28,2009
Development and Adaptation of Science and Literacy Formative Assessment Tasks,215,Regents Of The University Of California At Berkeley,2999730,high,11/20/09,11,20,2009
To provide support to states on RTTT applications,219,New Venture Fund,3240000,high,11/4/09,11,4,2009
Alternative High School Initiative,220,The Big Picture Company,3315216,high,7/15/09,7,15,2009
Support for Teaching First to ensure that there is public support for district efforts to improve teacher effectiveness,221,"Rockefeller Philanthropy Advisors, Inc.",3487270,high,9/25/09,9,25,2009
College Ready Mathematics Formative Assessments,224,Regents Of The University Of California At Berkeley,3661294,high,9/25/09,9,25,2009
Project support for expanding Aspen network,227,The Aspen Institute,3878680,high,11/18/09,11,18,2009
College and Career Ready Graduation Initiative,232,United Way of America,4001263,high,1/1/09,1,1,2009
Elevating An Alternative Teacher Voice,233,"Teach Plus, Incorporated",4010611,high,9/30/09,9,30,2009
"Formative Assessment Data Collection, Task Analysis and Implementation (UCLA/CRESST)",236,Regents University Of California Los Angeles,4342988,high,11/12/09,11,12,2009
State and National Common Core Standards Adoption/Implementation Advocacy Support,237,"James B. Hunt, Jr. Institute for Educational Leadership and Policy Foundation, Inc.",4368176,high,11/5/09,11,5,2009
Smart Scholars: Early College High Schools in New York State,240,The University of the State of New York,6000000,high,7/29/09,7,29,2009
Phase II - to support the expansion of second generation student tracker for high schools,241,National Student Clearinghouse Research Center,6094497,high,11/20/09,11,20,2009
Reforming the Widget Effect: Increasing teacher effectiveness in America's schools,243,"The New Teacher Project, Inc.",7000000,high,7/10/09,7,10,2009
Increase the leadership capacity of chiefs,246,Council of Chief State School Officers,7770104,high,7/1/09,7,1,2009
Strategic Data Project,251,President and Fellows of Harvard College,14994686,high,6/17/09,6,17,2009
Intensive Partnerships to Empower Effective Teachers,252,Pittsburgh Public Schools,40000000,high,11/18/09,11,18,2009
Intensive Partnerships to Empower Effective Teachers (LA-CMO's),253,The College-Ready Promise,60000000,high,11/19/09,11,19,2009
Intensive Partnerships to Empower Effective Teachers,254,Memphis City Schools,90000000,high,11/19/09,11,19,2009
Intensive Partnerships to Empower Effective Teachers,255,Hillsborough County Public Schools,100000000,high,11/19/09,11,19,2009
