grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Philanthropic Partnership for Public Education,162,Seattle Foundation,1181375,high,3/1/08,3,1,2008
A Progressive Agenda for Human Capital Policy Reform,163,Center for American Progress,1198248,high,7/1/08,7,1,2008
Gates-EdVisions Moving Forward,164,EdVisions Inc,1200552,high,12/1/08,12,1,2008
Texas Education Research Support,165,College for All Texans Foundation: Closing the Gaps,1221800,high,11/1/08,11,1,2008
Baltimore Sustainability Plan,167,Fund for Educational Excellence,1229730,high,5/1/08,5,1,2008
Campaign for High School Equity,169,"Rockefeller Philanthropy Advisors, Inc.",1279229,high,9/1/08,9,1,2008
Building College-Ready Culture in Our High Schools,171,College Summit Inc.,1300000,high,5/1/08,5,1,2008
Organizing for High School Reform,182,Pacific Institute For Community Organizations,1600000,high,9/1/08,9,1,2008
Advance Illinois organization build,184,Advance Illinois,1800000,high,5/15/08,5,15,2008
CMO Research Study Project Management,186,New Schools Fund dba NewSchools Venture Fund,1891265,high,5/1/08,5,1,2008
6to16,187,University of Chicago - Urban Education Institute,1894228,high,3/1/08,3,1,2008
Strengthening State College Readiness Initiatives,189,Board Of Control For Southern Regional Education,1987015,high,3/1/08,3,1,2008
The Public Education Reform and Community Development Link: A Sustainable Solution,193,Deutsche Bank Americas Foundation,2000000,high,11/1/08,11,1,2008
Project GRAD USA's National College Readiness Initiative,194,Project GRAD,2025892,high,9/1/08,9,1,2008
THSP Alliance Business Planning,196,Communities Foundation of Texas,2046674,high,9/1/08,9,1,2008
Dropout Prevention,198,Americas Promise-The Alliance For Youth,2211517,high,3/19/08,3,19,2008
Hunt Institute Common State Education Standards Project,199,"The James B. Hunt, Jr. Institute for Educational Leadership and Policy",2213470,high,5/1/08,5,1,2008
To Help Governors Improve College and Career Ready Rates,203,National Governors Association Center For Best Practices,2496814,high,5/1/08,5,1,2008
NAPCS Industry Development,208,National Alliance For Public Charter Schools,2605527,high,9/1/08,9,1,2008
Increasing Business Engagement,209,Institute for a Competitive Workforce,2625837,high,10/8/08,10,8,2008
Building Support for Federal High School Policy Reform,210,"Alliance for Excellent Education, Inc.",2644892,high,9/1/08,9,1,2008
Aspire Public Schools' Early College High School Capacity Project,212,Aspire Public Schools,2899727,high,9/1/08,9,1,2008
Big 8 Superintendents Data Assessment,213,Communities Foundation of Texas,2901632,high,11/1/08,11,1,2008
National Impact Initiative,214,National Association Of Charter School Authorizers,2979186,high,10/1/08,10,1,2008
Research Alliance for New York City Schools,216,New York University,2999960,high,10/1/08,10,1,2008
CCSR General Operating Support,217,University of Chicago (Parent Org),3000000,high,5/1/08,5,1,2008
Deepening and Expanding the Impact of Diploma Plus,218,"Third Sector New England, Inc.",3179363,high,9/1/08,9,1,2008
IDEA Public Schools Expansion,222,Idea Academy Inc,3498875,high,11/1/08,11,1,2008
Title,223,College Summit Inc,3500000,high,5/1/08,5,1,2008
Using Standards and Data to Improve Urban School Systems,225,Council Of The Great City Schools,3735866,high,10/1/08,10,1,2008
College Readiness Data Initiative,226,Dallas Independent School District,3774912,high,12/1/08,12,1,2008
Aligned Instructional Systems,228,New Schools Fund dba NewSchools Venture Fund,3999127,high,5/1/08,5,1,2008
DC Schools Fund,229,New Schools Fund dba NewSchools Venture Fund,4000000,high,7/1/08,7,1,2008
Newark School Fund,230,"Newark Charter School Fund, Inc.",4000000,high,2/15/08,2,15,2008
SeaChange Capacity and Catalyst Funding,231,"SeaChange Capital Partners, Inc.",4000000,high,12/1/08,12,1,2008
Big Picture School Initiative,234,The Big Picture Company,4079157,high,7/1/08,7,1,2008
Matching Grant for Classroom Projects in Public High Schools,235,DonorsChoose.org,4114700,high,11/1/08,11,1,2008
Ohio High School Value-Added Project,238,Battelle For Kids,4989262,high,10/1/08,10,1,2008
Creating a National Movement for Improved K-12 Education,239,"GreatSchools, Inc.",6000000,high,7/1/08,7,1,2008
Support for Seattle Public Schools' Strategic Plan,242,Alliance for Education,6929430,high,11/10/08,11,10,2008
Understanding Teacher Quality,244,Educational Testing Service,7348925,high,11/1/08,11,1,2008
Equity and Excellence in a Global Era: Expanding the International Studies Schools Network,245,Asia Society,7750417,high,11/1/08,11,1,2008
Strong American Schools,247,"Rockefeller Philanthropy Advisors, Inc.",9958245,high,3/1/08,3,1,2008
American Diploma Project Network,250,Achieve Inc.,12614352,high,2/1/08,2,1,2008
